,Susceptible,Exposed,Infected,Recovered,Dead
264,0,0,0,20,70
265,0,0,0,20,70
266,0,0,0,20,70
267,0,0,0,20,70
268,0,0,0,20,70
269,0,0,0,20,70
270,0,0,0,20,70
271,0,0,0,20,70
272,0,0,0,20,70
273,0,0,0,20,70
274,0,0,0,20,70
275,0,0,0,20,70
276,0,0,0,20,70
277,0,0,0,20,70
278,0,0,0,20,70
279,0,0,0,20,70
280,0,0,0,20,70
281,0,0,0,20,70
282,0,0,0,20,70
283,0,0,0,20,70
284,0,0,0,20,70
285,0,0,0,20,70
286,0,0,0,20,70
287,0,0,0,20,70
288,0,0,0,20,70
289,0,0,0,20,70
290,0,0,0,20,70
291,0,0,0,20,70
292,0,0,0,20,70
293,0,0,0,20,70
294,0,0,0,20,70
295,0,0,0,20,70
296,0,0,0,20,70
297,0,0,0,20,70
298,0,0,0,20,70
299,0,0,0,20,70
300,0,0,0,20,70
301,0,0,0,20,70
302,0,0,0,20,70
303,0,0,0,20,70
304,0,0,0,20,70
305,0,0,0,20,70
306,0,0,0,20,70
307,0,0,0,20,70
308,0,0,0,20,70
309,0,0,0,20,70
310,0,0,0,20,70
311,0,0,0,20,70
312,0,0,0,20,70
313,0,0,0,20,70
314,0,0,0,20,70
315,0,0,0,20,70
316,0,0,0,20,70
317,0,0,0,20,70
318,0,0,0,20,70
319,0,0,0,20,70
320,0,0,0,20,70
321,0,0,0,20,70
322,0,0,0,20,70
323,0,0,0,20,70
324,0,0,0,20,70
325,0,0,0,20,70
326,0,0,0,20,70
327,0,0,0,20,70
328,0,0,0,20,70
329,0,0,0,20,70
330,0,0,0,20,70
331,0,0,0,20,70
332,0,0,0,20,70
333,0,0,0,20,70
334,0,0,0,20,70
335,0,0,0,20,70
336,0,0,0,20,70
337,0,0,0,20,70
338,0,0,0,20,70
339,0,0,0,20,70
340,0,0,0,20,70
341,0,0,0,20,70
342,0,0,0,20,70
343,0,0,0,20,70
344,0,0,0,20,70
345,0,0,0,20,70
346,0,0,0,20,70
347,0,0,0,20,70
348,0,0,0,20,70
349,0,0,0,20,70
350,0,0,0,20,70
351,0,0,0,20,70
352,0,0,0,20,70
353,0,0,0,20,70
354,0,0,0,20,70
355,0,0,0,20,70
356,0,0,0,20,70
357,0,0,0,20,70
358,0,0,0,20,70
359,0,0,0,20,70
360,0,0,0,20,70
361,0,0,0,20,70
362,0,0,0,20,70
363,0,0,0,20,70
364,0,0,0,20,70
365,0,0,0,20,70
366,0,0,0,20,70
367,0,0,0,20,70
368,0,0,0,20,70
369,0,0,0,20,70
370,0,0,0,20,70
371,0,0,0,20,70
372,0,0,0,20,70
373,0,0,0,20,70
374,0,0,0,20,70
375,0,0,0,20,70
376,0,0,0,20,70
377,0,0,0,20,70
378,0,0,0,20,70
379,0,0,0,20,70
380,0,0,0,20,70
381,0,0,0,20,70
382,0,0,0,20,70
383,0,0,0,20,70
384,0,0,0,20,70
385,0,0,0,20,70
386,0,0,0,20,70
387,0,0,0,20,70
388,0,0,0,20,70
389,0,0,0,20,70
390,0,0,0,20,70
391,0,0,0,20,70
392,0,0,0,20,70
393,0,0,0,20,70
394,0,0,0,20,70
395,0,0,0,20,70
396,0,0,0,20,70
397,0,0,0,20,70
